estatus,id,Fecha
1,1,6/9/2023 12:16:20
4,2,6/9/2023 12:16:20
1,3,6/9/2023 12:16:20
4,4,6/9/2023 12:16:20
4,5,6/9/2023 12:16:20
1,6,6/9/2023 12:16:20
4,7,6/9/2023 12:16:20
1,8,6/9/2023 12:16:20
1,9,6/9/2023 12:16:20
4,10,6/9/2023 12:16:20
1,11,6/9/2023 12:16:20
0,12,6/9/2023 12:16:20
0,13,6/9/2023 12:16:20
0,14,6/9/2023 12:16:20
1,15,6/9/2023 12:16:20
0,16,6/9/2023 12:16:20
0,17,6/9/2023 12:16:20
0,18,6/9/2023 12:16:20
1,19,6/9/2023 12:16:20
1,20,6/9/2023 12:16:20
4,21,6/9/2023 12:16:20
1,22,6/9/2023 12:16:20
4,23,6/9/2023 12:16:20
1,24,6/9/2023 12:16:20
4,25,6/9/2023 12:16:20
4,26,6/9/2023 12:16:20
4,27,6/9/2023 12:16:20
1,28,6/9/2023 12:16:20
1,29,6/9/2023 12:16:20
1,30,6/9/2023 12:16:20
1,31,6/9/2023 12:16:20
1,32,6/9/2023 12:16:20
1,33,6/9/2023 12:16:20
1,34,6/9/2023 12:16:20
1,35,6/9/2023 12:16:20
4,36,6/9/2023 12:16:20
4,37,6/9/2023 12:16:20
1,38,6/9/2023 12:16:20
1,39,6/9/2023 12:16:20
