estatus,id,Fecha
0,1,22/9/2023 11:58:20
0,2,22/9/2023 11:58:20
0,3,22/9/2023 11:58:20
0,4,22/9/2023 11:58:20
0,5,22/9/2023 11:58:20
1,6,22/9/2023 11:58:20
0,7,22/9/2023 11:58:20
1,8,22/9/2023 11:58:20
0,9,22/9/2023 11:58:20
0,10,22/9/2023 11:58:20
0,11,22/9/2023 11:58:20
1,12,22/9/2023 11:58:20
1,13,22/9/2023 11:58:20
4,14,22/9/2023 11:58:20
1,15,22/9/2023 11:58:20
4,16,22/9/2023 11:58:20
4,17,22/9/2023 11:58:20
1,18,22/9/2023 11:58:20
1,19,22/9/2023 11:58:20
1,20,22/9/2023 11:58:20
1,21,22/9/2023 11:58:20
1,22,22/9/2023 11:58:20
1,23,22/9/2023 11:58:20
1,24,22/9/2023 11:58:20
1,25,22/9/2023 11:58:20
1,26,22/9/2023 11:58:20
1,27,22/9/2023 11:58:20
1,28,22/9/2023 11:58:20
1,29,22/9/2023 11:58:20
1,30,22/9/2023 11:58:20
1,31,22/9/2023 11:58:20
1,32,22/9/2023 11:58:20
1,33,22/9/2023 11:58:20
1,34,22/9/2023 11:58:20
1,35,22/9/2023 11:58:20
0,36,22/9/2023 11:58:20
0,37,22/9/2023 11:58:20
0,38,22/9/2023 11:58:20
1,39,22/9/2023 11:58:20
