estatus,id,Fecha
1,1,4/9/2023 14:00:19
4,2,4/9/2023 14:00:19
1,3,4/9/2023 14:00:19
1,4,4/9/2023 14:00:19
1,5,4/9/2023 14:00:19
1,6,4/9/2023 14:00:19
1,7,4/9/2023 14:00:19
1,8,4/9/2023 14:00:19
1,9,4/9/2023 14:00:19
4,10,4/9/2023 14:00:19
1,11,4/9/2023 14:00:19
0,12,4/9/2023 14:00:19
0,13,4/9/2023 14:00:19
0,14,4/9/2023 14:00:19
1,15,4/9/2023 14:00:19
0,16,4/9/2023 14:00:19
0,17,4/9/2023 14:00:19
0,18,4/9/2023 14:00:19
1,19,4/9/2023 14:00:19
1,20,4/9/2023 14:00:19
1,21,4/9/2023 14:00:19
1,22,4/9/2023 14:00:19
1,23,4/9/2023 14:00:19
1,24,4/9/2023 14:00:19
1,25,4/9/2023 14:00:19
1,26,4/9/2023 14:00:19
1,27,4/9/2023 14:00:19
1,28,4/9/2023 14:00:19
1,29,4/9/2023 14:00:19
1,30,4/9/2023 14:00:19
1,31,4/9/2023 14:00:19
1,32,4/9/2023 14:00:19
1,33,4/9/2023 14:00:19
1,34,4/9/2023 14:00:19
1,35,4/9/2023 14:00:19
1,36,4/9/2023 14:00:19
4,37,4/9/2023 14:00:19
1,38,4/9/2023 14:00:19
1,39,4/9/2023 14:00:19
