estatus,id,Fecha
1,1,4/9/2023 20:01:20
4,2,4/9/2023 20:01:20
1,3,4/9/2023 20:01:20
1,4,4/9/2023 20:01:20
1,5,4/9/2023 20:01:20
4,6,4/9/2023 20:01:20
1,7,4/9/2023 20:01:20
1,8,4/9/2023 20:01:20
1,9,4/9/2023 20:01:20
4,10,4/9/2023 20:01:20
1,11,4/9/2023 20:01:20
0,12,4/9/2023 20:01:20
0,13,4/9/2023 20:01:20
0,14,4/9/2023 20:01:20
1,15,4/9/2023 20:01:20
0,16,4/9/2023 20:01:20
0,17,4/9/2023 20:01:20
0,18,4/9/2023 20:01:20
4,19,4/9/2023 20:01:20
4,20,4/9/2023 20:01:20
1,21,4/9/2023 20:01:20
4,22,4/9/2023 20:01:20
1,23,4/9/2023 20:01:20
4,24,4/9/2023 20:01:20
1,25,4/9/2023 20:01:20
1,26,4/9/2023 20:01:20
1,27,4/9/2023 20:01:20
4,28,4/9/2023 20:01:20
4,29,4/9/2023 20:01:20
4,30,4/9/2023 20:01:20
4,31,4/9/2023 20:01:20
4,32,4/9/2023 20:01:20
1,33,4/9/2023 20:01:20
4,34,4/9/2023 20:01:20
4,35,4/9/2023 20:01:20
1,36,4/9/2023 20:01:20
4,37,4/9/2023 20:01:20
1,38,4/9/2023 20:01:20
1,39,4/9/2023 20:01:20
